"CODIGO";"NOME";"CPF";"NASCIMENTO";"SALDO"
"1001";"Tina Voldaren";"100.100.100-10";"15/11/1980";"459,90"
"1002";"Ana Fier";"200.200.200-20";"01/01/2000";"500,00"
"1003";"Samantha Smallcock";"300.200.100-30";"31/07/1977";"3.333,30"
"1004";"Jennifer Ravena (Jinni)";"400.300.200-10";"04/04/1944";"112.540,50"
"1005";"Barbara Patrick";"100.100.100-11";"25/12/1999";"241,17"
"1006";"Selena Herrick (Sena)";"200.200.200-21";"15/11/1980";"20.177,87"
"1007";"Sarah Varney (Sadie)";"300.200.100-31";"01/01/2000";"114,57"
"1008";"Vera Cassidy";"400.300.200-11";"31/07/1977";"51,27"
"1009";"Genésia Aparecida";"100.100.100-12";"04/04/1944";"-12,03"
"1010";"Maitê Proença";"200.200.200-22";"25/12/1999";"9.990,00"
"1011";"Tião Silva";"300.200.100-32";"15/11/1980";"-138,63"
"1012";"João José Inglês";"400.300.200-12";"01/01/2000";"500,00"
"171";"Mussum Cacíldis";"171.100.200-51";"10/09/1951";"51,00"
"9999";"No One";"";"";"0"
